	entities.hashtags.0.text	entities.hashtags.1.text	retweet_count	text
202	RT		0.0	COME HO DA FAR DI E SE MI
203			0.0	Found twin
206	RT		1.0	PERSONA DI FOLLOWER COME CON E TE
207	Truuuuu	2Chainz	0.0	HAVE
209			0.0	got junk trunk I car
210			0.0	Harvest
212			0.0	Me era de nose si
213			0.0	The ARE THEY HAVE TO RAISE ON ALL OF US THE ELECTION IS OVER
215			0.0	E HO L ORA DI E LA PROF MI HA
219			0.0	I deal
221			0.0	got done producer told time get back yo music
222			0.0	em
223			0.0	Hay Mas Y
224			0.0	En un examen final mi No de en
226	NotToday		0.0	Someday pizza catch
228			0.0	yawn
230			0.0	set release new album Black Waltz th set
231			0.0	since really outside I guess I work homework assignment
232			0.0	tu x
233			0.0	gens j pour ce c vampire
234			0.0	Photo
235			0.0	hoe doe
236			0.0	Lo Es las Hoy Son Para Mi
237			0.0	Multiple Web Site Design
238			0.0	sweer
239			0.0	la lo
242			0.0	go
243	Alexa		0.0	Dice es para
244			0.0	wish right
245			0.0	amor e te de
248			0.0	sorry
249			0.0	SI O NO A SI NO YO EN EL CINE
250			0.0	het
251	ournightinpictures		0.0	funny love
252			773.0	das os
253			317.0	se Lo te YO ES ME EN TU
254			0.0	Eu e
256			0.0	Y obviously know real
257			0.0	di S di di
258			0.0	mola
259	totidy	messthatshitup	0.0	Your going heart attack see freezer
261			0.0	Make blue pop taupe tan auburn colors use mocha colored liner make even color
263			0.0	All I I become All I I done How far I reach yet I unfinished product
264			0.0	Yesterday happy
266			0.0	FONT FAMOUS live
267			0.0	Do want Follow everyone gain
268			0.0	en tu es tu
269			0.0	met
271			36.0	All Sons amazing
273			14.0	constant accessible patient
274			55.0	No made corruption scandal Republic Help us bring news
275	Follow	Him	0.0	S new twitter Follow Him Ladies
276			0.0	UN
277			0.0	prendre en photo SCRAT de ICE AGE ce de h h
278			67.0	detective se un Con cuerda
279			0.0	Y weak sucking dick
280			0.0	I really need nap right
281			0.0	think know Y know
284			0.0	de
285			0.0	os e
286			0.0	Am
290			0.0	Another one dust
291			0.0	BRAND NEW BIG BANG COMING
292	multibusqueda		0.0	service client
293			0.0	taxi pop
294	SageAlert		0.0	Primary Now Watching Animal Fighting
297			0.0	Estado e Dom Pedro parado parado
299			0.0	My school SUCK
301			0.0	She looking like bag money
302	Tragic		0.0	come till tho Tragic
303	Crack	Chalon	0.0	es de mas de Crack Chalon
305			0.0	Un te es de es de
306			0.0	Watched Gilbert Grape What stunning performance
308			0.0	Last laughter kartel
310			0.0	de un venezolano Me dar un Claro El el
312			0.0	c
313	reis	later	0.0	de reis later pier hotel
314			0.0	chi
315	tbt	summer	0.0	waking morning summer
316			0.0	Celebrate stout day drinking local Bo n Luke Imperial Stout tap
317			0.0	q el ket
319			0.0	I though
320			0.0	That low settlement
321			0.0	con
322			0.0	Why
323			3864.0	bring sexy back Find lingerie
324			0.0	te al Sol
325			1338.0	se Lo te YO ES ME EN TU PUT
326			0.0	About hop shower
328			1.0	Thats My Ex Wife
329	WorstSentences		0.0	Let Just Be
332			0.0	ill everyone
334			0.0	commentary difficult
336			616.0	I kind miss everything time last year
341			0.0	Y
342			0.0	Kai dis gurl get join
343	buswankers		0.0	Never get bus wen school I clearly pregnant yet wall
344			0.0	Cheap Icicle Floor Lamp On sale
345			0.0	Ya
346			0.0	Bronze Twist Earring Comment Sold purchase register
350			0.0	I posted new photo
351			0.0	fatigue
354	philanthropy	nonprofit	0.0	M Challenge philanthropy nonprofit
355			0.0	Photo
357	easilypersuaded		0.0	I always moan liquid envy still end getting going
358			0.0	Zodiac Winner We answer one psychic Q free Click profile link claim Code
359			0.0	know
360			0.0	whats tweet Yesterday
361	angels		0.0	Can wait see Secret show
362			0.0	I waiting I leaving
365			0.0	SEND ME FOR A HEADER
367			0.0	de el de mi antes
368	id2012		0.0	speaking Identity founder id
369	tcot	GOP	0.0	No moderate Republican lost seat All got ass How dumb refuse see problem
371			0.0	Totally love chapter get feeling I swooning bit
372	job	jobs	0.0	Quality Engineer Intern Job Job Fort Worth job engineer engineering Fort Worth
373			0.0	tan para rio
374			0.0	Carga de Hasta el con en
375			0.0	yo el P
376			0.0	de solo lo se sabe de persona normal te
377			0.0	yo mas
379			0.0	Es man con yo
380			0.0	si la Me gusto D
381			0.0	mal al se de
382	addseguidores		0.0	site para
384			0.0	I posted new photo
385			0.0	Time Silver Bullet
386			0.0	host one
387			0.0	siesta te culpa
388			0.0	na
389			0.0	work I cum cuddle I forgot bout Willy
390			3.0	WENT TO THE MOON
391			209.0	Diarrhea hereditary jeans
392			1.0	Hay se
393			265.0	concrete jungle
394			1.0	El lo llama examen multiple choice Yo lo
395			1.0	sur Twitter via
404			0.0	Splash
408			0.0	Bake pop sac
410			0.0	stupid wee craw
411			0.0	Today th Presentation
412			0.0	la
414	TechN9ne		0.0	Happy birthday
415			0.0	IT S SO BRIGHT
416	bestdayever		0.0	much
417			0.0	ide na
418			0.0	public de la
419			0.0	Good morning We going run another giveaway VERY soon Please share page
420			0.0	pure laziness I tend
422			0.0	That awkward moment realize IE support attribute form
423			0.0	waar dan
424			0.0	hey pal sorry I make last night close birthday Have decent turn
426			0.0	STOP
427			0.0	needs cheer Her smile th period depressing
428			0.0	S O new
429			0.0	eu na agora e se eu
430			0.0	Off get better birthday
431	RulesOfBusiness		0.0	Respect hard earn easy lose
432			0.0	fresco en
433			0.0	de de de amor
434			0.0	eu fique de mim
435			0.0	Theme Tune The World Was A Mess But His Hair Was Perfect
436			2.0	tu ta
439			0.0	de
440			2.0	A flexible resilient way configure g authenticate Active Directory
441			2.0	No de de lo en la dice el de
442			1.0	es es amor ser
443			13.0	dice es la ser
445			1.0	somebody
446			2.0	No
450	Mcmaster	unpaidpromo	0.0	Cheap healthy All fresh produce away
451	contractors	construction	0.0	YES We Live Chat account construction roofing
453			0.0	You gorgeous x Aw thanks x
455			0.0	switch entire attitude back way used
458			0.0	Me un bon bon
463			0.0	So much homework tonight
464			0.0	You go worst get best
466			0.0	go back
467			0.0	Those Black silver mean business ya got history sneaker sorry
469			0.0	Woke one home
470			0.0	Yo en el No q el
471			0.0	Fell asleep science went home quarter past cause I tired
474			0.0	de D
475			0.0	Where
476			0.0	oh god
478			0.0	die young
479			0.0	writing getting ready next fishing
481			0.0	Mac n Cheese back
482			0.0	know even drink anything
483			0.0	hell
484			0.0	To pro eu
485			0.0	miss da morning Wat gud way start Morning cant wait
487			0.0	It good
488	ThingsMyDaddyTaughtMe		2.0	never snitch
490			84.0	Play people
491	delicious		2.0	Peppermint swirl shake delicious
492			0.0	A la
493			52.0	Some better left unsaid
494			0.0	excited P else coming
497			29.0	Sag men never mad long tho They jump window hurt come back normal like
498			1.0	PLAID SHIRT C SHOW
499			1.0	E MAN EU EU TOO MOLE NA
501			1.0	When I find people name
502			312.0	SO MANY IN MY MOUTH
504			0.0	Nak follow
505			0.0	un ultimo
506			0.0	Aku baru blackout
508			0.0	en stand
509			0.0	I never ashamed quit shy
511			0.0	Un se
512			0.0	te e te
514			0.0	Summer high school first met
515	B		0.0	B
516	FeriaelectrodomésticosBancamérica		0.0	el las te
517			0.0	Post sexy shirtless new
518			0.0	q
519			0.0	love princess
520			0.0	Who Snap
521			0.0	ill warn coming coming
523			0.0	Stop acting
525			0.0	mi ha di fare un di canto lei
526			0.0	La es el amor hay sea
528			0.0	Hello I fan Russia I fan
529			0.0	Full pott
530			0.0	amazing
531			0.0	de Digital en la
532			0.0	Twitter os de
533			0.0	gue bang
534			0.0	la
535			0.0	Spending day brother town
536			0.0	Just set background phone
537			503.0	solo
540			0.0	different everything else
541			0.0	always look bewildered indeed darling x
543			584.0	You hate even know How cute
544			527.0	meio da da
545			0.0	Success strange since failure
546	sandysabitch	thirstythursday	1.0	Hurricane Relief Party TONIGHT Portside Click
547			28.0	CHAIN
548			0.0	da
549			1.0	Masa track Is We ate hearts drank
550	CNP		0.0	de de la junta en
551			1.0	D
553			71.0	hope enjoying new album much hearing nonstop next month
556			0.0	phone anyone pin give message hungry bring toast
557			0.0	worst day life
558			0.0	nous guide P D R G COMING SOON
559			0.0	No
560			0.0	Me Hey I met Stranger away Me Now somebody I used know
561	discount	coupon	0.0	Clothes Fashion Get discount coupon
562			0.0	Go athletic
563	Tecnologia		0.0	con
565			0.0	em de Mas de e e
567			0.0	He seriously say Yeah buddy
568			0.0	first time week I fully sober Someone get drink
569			0.0	Money monthly coaching sessions ultimate step step formula
570	tryingtobehome		0.0	Can wait weekend
571	getexcited	cantwait	0.0	WE GET TO HEAR LITTLE FOR THE FIRST TIME TONIGHT
573			0.0	New big warm sweater much one grandmother knit I little girl Wood buttons
574			0.0	I Bye
575			0.0	x
577	firstforeverything		0.0	People take breath away wow
578			0.0	Follow Please
580			0.0	bater em ask
583			0.0	Of course c un ce
584			0.0	tot morgen
585			0.0	Ultimate Party Bus CALL fall also check
586			1150.0	A
588			124.0	I automatically say something wrong
589			709.0	Doing right thing rarely convenient
591			64.0	I got start O end
592			456.0	Sitting park bench little bad intent
593	sixone		1.0	government referendum information hence clue
594			0.0	I took fire could catch
596			1.0	hasta
597			0.0	de mi coup de pression mi psychologue
599			157.0	Sex Violence anthem
602			1.0	We making new Brown video near We want
603	TENSIONEEVOLUTIVA		20.0	quasi Che la con te
604			0.0	kalo gratis
606	julieth		0.0	Mi prima en el
607			0.0	con
608			0.0	Ya lo ser
609	economy		0.0	win remains bearish economy
610			0.0	I keep forgetting though still baby Only
612			0.0	lo el lo yo
613	LPDA		0.0	de dos en el
614			0.0	ViRuS
615			0.0	Hot New Print Now Before They Gone These make great may last long
616			0.0	Like Us For More Funny Stuff
618			0.0	A PARA O
619			0.0	con el
620			0.0	um dos R Use e
621			0.0	No
622	management	Weatherhead	0.0	What sort management Weatherhead provide
623			0.0	I randomly insert profanity meal I sandwich coke
625			0.0	agama
626			0.0	got ALL people
627			0.0	Me prince goes
629			0.0	Who I via
630			0.0	D
632			0.0	I know eh What offer
633	haircut	jerseystrong	0.0	I know really good barber haircut
635			0.0	se sair de
636			0.0	I bet want dance I Understand
637			0.0	GET FREE
638			1.0	se eu eu eu sou per mim
639	ilsorrisodikilla		7.0	Ah ho visto che nei di super smile per
641			299.0	FREEDOM officially
642			1.0	Check like support Men Health pic
643			417.0	te un
644			1.0	Rise occasion
645			0.0	Gather Guest Demographic Information Direct Marketing Antique
646			1.0	nome
647			0.0	Ana dale
648			11.0	Record number commit public self show opposition rule
654			0.0	You took virginity I sorry sir It happen
656			0.0	de q em
657			0.0	se chamar Verine tiver de Verine
659			0.0	saber nome banda sabe se
661			0.0	jo lek lo
662			0.0	Polo type day
663			0.0	People ANYTHING attention
665			0.0	Go Down B Tony
666			0.0	right thing Conservatism
667			0.0	thanks bad lose love
671	quote		0.0	bowie What sow hearts season happiness reap winter quote
673			0.0	Red wine fed time
674			0.0	para
675			0.0	worried rent us win home game
676			0.0	What loss Rip Star Player Mother In A Car Accident
677	organic	exfoliator	0.0	Our retailer Kanga testing fabric organic skin conditioner similar
678			0.0	I see one live city area whole life I
679			0.0	Huh
680			0.0	Hit chat
681	ASunXC		0.0	Can wait see Regional tomorrow Good luck everyone running
682			0.0	Drug Money Buy u u want
683			0.0	hi Hi anonymous
686			0.0	super dope tonight show STOP Y ME EXCITED
687	YoungMoney	Squad	0.0	know Squad Dank Loud Blaze Toke
688			0.0	oh god sick sleeping alone I M ALWAYS AVAILABLE THOUGH
689			0.0	Thanks yeah bunch stuff match
691			0.0	friendly suggestion
692			0.0	ha
693			0.0	enjoy
694	TodoFãDeTVD		55.0	da previously vampire
695			0.0	el C el mas perfecto
697			0.0	This guy beat Their defense stop nosebleed
698			0.0	Building Trust Being Authentic
699	14N		53.0	N
700			2.0	es Y lo
702	G		492.0	competition time message chance winning courtesy G
704	theAG	fetish	0.0	resist anything fetish
707			0.0	er
713			0.0	I ONLY WIT VERY FEW
714			0.0	Father son Kyle first time SIX DAYS LATER learned b
715			0.0	de mal mu de en el es la de
716			0.0	em de
717			0.0	ara
719			0.0	de demi finale pour Roger Matin Swiss
720			0.0	people people unfollowed automatically checked
721			0.0	Teacher good Me Teacher What bad Me start
722			0.0	rite ass need beat
723	Loveher		0.0	My
724			0.0	Working grocery store I see lot wealthy people food That right
725			0.0	mi dado se ti
726			0.0	la lo es la
728			0.0	el de la dice
729	pukerainbows		0.0	es
731			0.0	I like
732			0.0	wat
733	EsmeraldaS		0.0	en la mal EN LA k
735			0.0	LO ES DE NO SE DE
736			0.0	de se
737			0.0	right You know
738			0.0	hey u give follow
739			0.0	Weed Everywhere
740	closer		0.0	I beyond song closer
741			0.0	know true
742			0.0	mother Mitt The Yahoo News via
743			0.0	feeling never wrong far He n need
744	BAFact		51.0	Coincidentally Sun x bigger x farther away Moon making appear si
745			0.0	Acta AM Se
746			0.0	elle bien ta
747			0.0	tired
748			17.0	NOTE Mitt concession speech prepared tax return ready
749			4.0	de dit
750			6.0	od go bo
751			0.0	We rewind today check share How Properly Display
752			0.0	Se
754			311.0	THIS CAN T SUCK ITSELF
755			0.0	p penis
756			10.0	Live life take crazy Don wait cause right ever
757	QuieroLuzYLaQuieroYa	MeLaCortasHoyYMueroSinElAire	1.0	Se la
758	bladerunner		0.0	Y se las en la
759			0.0	lo pablo
760	justfellinlovewithdrbeen		0.0	Thank God smart doc put place son concerned
761			0.0	A
766			0.0	Mock Trial Judge
767			0.0	cereal first time like year
769			0.0	poppin run
770			0.0	new baby
771			0.0	Squirt For Me Scene
772			0.0	football manager long install
774			0.0	turn yet
775			0.0	S I G A N
776			0.0	make year
777			0.0	I mad want tell
779			0.0	Talk di ting Scarlet
780	tru		0.0	Can wait see
782			0.0	os
783			0.0	LOVE YOU
784			0.0	hi need
785	SeminarioCESOP		0.0	la mesa de de hoy A la mesa El es
787			0.0	si es la yo se de
788			0.0	agora em
789			0.0	Nog kan
790			0.0	en
791			0.0	biological sister doe
792	tigerbunny		0.0	TIGER BUNNY
793			0.0	Today noon meet local pastor Rev Ken Bell Rector St Timothy Church Ken Regent alumnus
794			0.0	tua es la frase
795			0.0	wat
796	CEO	CEOjobs	0.0	Most since via
797			0.0	lucky min walk walk mile hate much
799			0.0	GET MORE MY BEST I WILL FOLLOW YOU BACK IF YOU FOLLOW ME
800			0.0	I got Football level Toss It
802			138.0	vale para dos vale tan poco para ser la
804	Virgos		1142.0	like advice
805			1340.0	se Lo te YO ES ME EN TU PUT
806			1.0	en dos
809	BreastCancer		1.0	Make FREE screening
812			0.0	LA KISS YOU
813	tecnópolis		0.0	lo van de
814			0.0	Who Down To Drink
817	Handmade	Christmas	0.0	For beach inspired Handmade Bauble
818			0.0	video funny hell
819			0.0	D
821	Linux	Lebanon	0.0	Alpine distribution kernel
822	secret		0.0	bon j secret
824			0.0	Al es en
826			0.0	The Bower Show today preview
827			0.0	rude
828			0.0	Mention Me
830			0.0	Haven driving lesson like nearly two going forget everything
831			0.0	yah please aku
832			0.0	As Long As Know
833			0.0	Oral
835	nf		0.0	follow back
836			0.0	D
837			0.0	true That I lunch way better anything school
838			0.0	respiratory math really bad long know
840			0.0	el es la para
841			0.0	para iso
842			75.0	mi Yok ya ne
843			912.0	de las de la es persona de
844	arkansas	Pluto3D	94.0	future tonight n come TurnUp
846			82.0	Ill also I follow back
847			0.0	Yo de
848			0.0	anna p
853			0.0	It square ass brick
854			0.0	I favorite I I look make smile
855			0.0	de con calor
856	gemini		0.0	I get
857			0.0	YA ME S
858			0.0	Early dismissal
859			0.0	To em se
860			0.0	If I fall asleep peek
861			0.0	Anybody ever Sleeping Dogs Any good
862			0.0	b Hurricane Hurricane
863			0.0	NOT ME I open message else
864			0.0	N j de tout rap j en ai un en se moment
865	M6		0.0	plus j M
869			0.0	ra ultima en el de la
870			0.0	Time roll big head n watch
871			0.0	yes sir
872			0.0	ya de
874	jholiday		0.0	Now stop let repay week cute like
875			0.0	I example survive fast food
876			0.0	ah e de de
877	BEAUTYFIX	TimeBomb	0.0	Tune today Young
878			0.0	I
879			250.0	Me das es un soy Mamma da
881			0.0	er LAN
882			312.0	THIS CAN T SUCK ITSELF
883			1.0	eu
885			3280.0	dar tu
890	beliebers	VSFashionShow	13491.0	Pretty sure u become watching performance
891			0.0	poor
893			1.0	The month thick
897			0.0	vei S
900			0.0	La la la
901	TodoFãDeTVD		0.0	e
902	Crisis		0.0	La Crisis Punto de Vista VIDEO
904			0.0	Can Live instead Audacity
906			0.0	che non mi Twitter chi non ti
907			0.0	Almost Out First Day On Twilight Set
908			0.0	hoe
909			0.0	Drug den love
910			0.0	Do want Follow everyone gain
911			0.0	Bad Credit Rancho
912			0.0	made day
913	Np		0.0	Tiffany Wo
914			0.0	ne yo think really cool
915			0.0	welcome
917	nowplaying		0.0	She Needs Me Remix Feat Dom
919	BELIEBERS	BELIEVEKey	0.0	Eu VOTE
920			0.0	e de
923			0.0	na eu para
925			0.0	AW
926			0.0	football
927	Fifa13		0.0	Its even open yet
928			0.0	EU Daily live
930			0.0	Follow Follow back
931			0.0	My daily new new via
932	bütçeden30binşubatatamasıçıksın		2.0	bin bin bin
933			1.0	En Capital Federal Tsunami
934			20.0	Imagine hart best friend though oh god
935			0.0	Net met
939	FilmLifeTV		0.0	Love laugh Watch Starring Produced
942			1.0	love take care even though none bitch
947			0.0	Con
948			0.0	Is Carl
950	Ughh	Annoyed	0.0	I really considering blocking Your pointless nobody
951			0.0	e cade
952			0.0	I loser
954			0.0	pun
955	SirilSiklamOlsunOForma		0.0	Bu
956			0.0	het mag
957			0.0	competitiveness A rude awakening
958			0.0	HERE GO MOLA
959	kakaaaa		0.0	growing season hawk growing winter
960	Nervous		0.0	I really feel good I really hope favorite people go home The Voice tonight Nervous
965			0.0	stupid
968			0.0	Does bother Yes Will I ever tell No
969			0.0	No Community Reinvestment Act Carter Bush research
970			0.0	LO
971			0.0	Do want Follow everyone gain
972			0.0	de el
973			0.0	en Al con un el l
974	SOT		0.0	Great story Air Guard Dentist Leaves Smiling SOT
975			0.0	D
977			0.0	tho every since u came saw hospital
978			0.0	Grim think allow I many got
979			0.0	el
980	GBiiiiiiiiM		0.0	hate guy arrogance
981			13.0	Excellent news surgery successful back hospital
982			0.0	naw
983			2646.0	el examen de vas
984			0.0	Hope great day I got today
985			2.0	I know I keep keep shooter close incase reaper get
986			902.0	Era
988	ChingaTuMadreEPNdeParteDeLasDirectioners		49.0	para D para para
990			0.0	welcome welcome Twitter par
992			1.0	year game tonight Wonder water
995	NSMW		0.0	Double chocolate piano
996			0.0	dos
998			4.0	MA highest court b c prove time foreclosure
1000			0.0	When know someone talking
1001			0.0	I really hate bitch every time see get mad
1002			0.0	na
1005			0.0	I dressed like
1008			0.0	Fake freakishly similar real Fake
1010			0.0	I State Museum PA
1011	ILoveThePeopleInMyLife	ThankYouGodForThem	0.0	This day awesome
1012	kooldefuckout		0.0	move fast Um de think love dis age
1013	Succed		0.0	Distinguishing truth never easy given opportunity let go wish see fail
1014			0.0	Buy get free
1015			0.0	At Exit While Turned Down Bond Ahead theatrical roll las
1017			0.0	none say huh
1018			0.0	Check new background inspiring p
1019			0.0	Yo las
1021	GoHavoc		0.0	Just The Ice Suite Contest begin Just getting attention
1023	ExoticWeedSmoke		0.0	Slid
1024			0.0	I test
1027			0.0	la para un
1028	UnAñoDeAmaiaMontero2	Tequeremosamorir	0.0	un de de persona
1029			0.0	Want dress possible
1032			537.0	bien ser en Twitter
1033	jokes		1.0	movie tonight
1034			1606.0	Men leading cause alcoholism among
1036			0.0	love
1038			1.0	I feel like I literally look exactly like I I child I never something else
1042			0.0	Yesterday jolly talking day went golden corral adventure landing mike
1043			0.0	The adventure next year pekan baru city
1045			0.0	Happiness Hour One hour
1046			0.0	te
1047			0.0	Haven put phone class
1048			0.0	Sleepy
1049			0.0	da
1050			0.0	like sky
1051			0.0	Yeah nice go take
1052	foodforthought		0.0	Give food second thought
1053			0.0	para al
1056			0.0	te
1057	Quran		0.0	And remember We said Prostrate unto They except
1058			0.0	tweet damn much
1060	truegrit	running	0.0	Time Run Bring running training
1062			0.0	PARK CLICK HERE
1063			0.0	give attention desperately Conservative Goes On Priceless Drunken Hyper Rant
1064			0.0	la
1065			0.0	Look link cheesy people want I find
1067			0.0	en retard pour
1068			0.0	I video Ultimate Team Path Power Penalty Stopping
1069			0.0	IN COP MASSACRE
1072			0.0	claro yo la E de O
1073			0.0	un video de la
1074			0.0	cutie x
1075			0.0	PARK CLICK HERE
1077			0.0	Las de de
1078			0.0	eu
1079			0.0	thing bucket list meet must
1080	theMomentEnds	beherenow	0.0	Though I feel blowing differently ever trey
1082	Android	androidgames	0.0	The Android
1083			4.0	made history sure
1084	RT		3.0	te follow
1085	Retailjaarprijs		2.0	We de Samen met en de de
1086			0.0	Tau pau thanks walk
1087	Trivia		0.0	Q AGO IN LIFE After stay Duke Duchess travel US Trivia
1090	Soz		0.0	living ya know
1092	maybooks		0.0	Just got mail Ready spring semester I use
1095			0.0	Canada Post holiday season
1096			0.0	New post Technical Analysis Holding Short Term Channel
1097			0.0	game
1100			0.0	Follow I love much baby x
1101			0.0	un
1104			0.0	D
1105	teamGrindHard		0.0	Me nep weight room
1106			0.0	de Bogart en Vale ya La
1107			0.0	G de c pour sa g La elle arriver final
1108			0.0	Fix And Fun
1109			0.0	gun aga e mi
1110			0.0	Photo p NET
1111			0.0	Sow u motive
1112			0.0	Elle un l
1113	ChewEveryday		0.0	I The Chew Watch Win You
1114			0.0	tabor never thought I hear come mouth look growing
1116			0.0	I
1117			0.0	shake suddenly feeling well
1118	GTAV		0.0	Three awesome Being trailer next week
1119	FF	TuitUtil	0.0	es
1120			0.0	uncalled
1121			0.0	Ne parle plus de
1122			0.0	tu ta
1123			0.0	p
1126			0.0	County District Attorney Needs Your Vote To Help
1127			4.0	The Super highway morning na Jam
1128			5.0	en penal
1129			6.0	still caught ex
1131	tbt		2.0	I miss
1132			0.0	mas eh de agora de bota eh fogo
1134			1.0	We build around hearts wonder one us
1136			0.0	beni D ya ben D
1139			0.0	D
1140			0.0	para da de
1141			0.0	O
1142			0.0	top sera h TOP TOP TOP
1143			0.0	Ce en la peine n facile
1144			0.0	nope
1148			0.0	el papa bien
1149			0.0	Burn Notice Tonight
1150	NFL		0.0	Who best rookie quarterback
1152			0.0	I never trip mine
1153			0.0	Just know morning day
1154			0.0	rain
1155			0.0	What hero Bill
1156			0.0	es en la de
1158			0.0	oh
1159			0.0	EL
1160			0.0	Si ser animal animal Un para volar
1162	moetnietgekkerworden		0.0	En Al
1163			0.0	di mi ama
1164	FSD		0.0	King I Love Money
1165			0.0	en ya
1166			0.0	Backstage club hot sometimes
1167			0.0	What language dis
1168			0.0	cant DO YOU RESEARCH BECAUSE LOVING CLEARLY MADE YOU A
1169			0.0	twit error dah
1170	hoverman	walkonwater	478.0	Can anyone still believe I water It crazy
1171			0.0	el ya
1173	LetsGoWolves		0.0	tonight Butler Everyone go wear blue
1174			0.0	live
1175			0.0	A mi el de D
1176			20.0	e legal
1177			11.0	la de de con
1178	crisolps		1.0	en fa CA
1179			1.0	tu se haya
1180			18.0	Wish U Were Here Today Show tomorrow morning
1181			11.0	el video de Little te lo ti la camara tan con
